"Hạng mục","Số dư còn","Tổng nhận","Chi phí chạy ADS ","Phí quản lý","Tổng chi phí","DATA","","","","","","","","","","","","CHI PHÍ SỐ LIỆU","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05/04/2026","","","1.915.465 đ","95.773 đ","2.011.238 đ","4","2","0","1","0","0","0","3","0","62.522.000 đ","2","25","80.450 đ","335.206 đ","24,00%","2.011.238 đ","16,67%","670.413 đ","300,00%","3108,63%","","","","","","","","","","","","","","","","","","","","","",""
"06/04/2026","","","1.604.447 đ","80.222 đ","1.684.669 đ","2","1","0","1","0","0","0","0","0","0 đ","1","10","168.467 đ","561.556 đ","30,00%","1.684.669 đ","33,33%","","0,00%","0,00%","","","","","","","","","","","","","","","","","","","","","",""
"07/04/2026","","5.000.000 đ","1.530.792 đ","76.540 đ","1.607.331 đ","0","7","0","0","1","0","0","0","0","0 đ","3","21","76.540 đ","229.619 đ","33,33%","1.607.331 đ","14,29%","","0,00%","0,00%","","","","","","","","","","","","","","","","","","","","","",""
"08/04/2026","","","1.563.253 đ","78.163 đ","1.641.416 đ","1","4","0","1","2","0","0","0","0","0 đ","2","9","182.380 đ","328.283 đ","55,56%","547.139 đ","60,00%","","0,00%","0,00%","","","","","","","","","","","","","","","","","","","","","",""
"09/04/2026","","","2.188.569 đ","109.428 đ","2.297.997 đ","1","4","0","1","1","0","1","0","0","1.300.000 đ","1","14","164.143 đ","459.599 đ","35,71%","1.148.999 đ","40,00%","2.297.997 đ","50,00%","56,57%","","","","","","","","","","","","","","","","","","","","","",""
"10/04/2026","","5.000.000 đ","2.431.857 đ","121.593 đ","2.553.450 đ","0","5","0","0","1","0","0","2","0","8.000.000 đ","3","20","127.672 đ","510.690 đ","25,00%","2.553.450 đ","20,00%","1.276.725 đ","200,00%","313,30%","","","","","","","","","","","","","","","","","","","","","",""
"11/04/2026","","","611.551 đ","30.578 đ","642.128 đ","1","4","0","0","0","0","0","0","0","0 đ","2","6","107.021 đ","128.426 đ","83,33%","","0,00%","","","0,00%","","","","","","","","","","","","","","","","","","","","","",""
"12/04/2026","","","0 đ","0 đ","0 đ","0","0","0","0","0","0","0","0","0","0 đ","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13/04/2026","","","0 đ","0 đ","0 đ","0","0","0","0","0","0","0","0","0","0 đ","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14/04/2026","","","0 đ","0 đ","0 đ","0","0","0","0","0","0","0","0","0","0 đ","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15/04/2026","","","0 đ","0 đ","0 đ","0","0","0","0","0","0","0","0","0","0 đ","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16/04/2026","","","0 đ","0 đ","0 đ","0","0","0","0","0","0","0","0","0","0 đ","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17/04/2026","","","0 đ","0 đ","0 đ","0","0","0","0","0","0","0","0","0","0 đ","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18/04/2026","","","0 đ","0 đ","0 đ","0","0","0","0","0","0","0","0","0","0 đ","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19/04/2026","","","0 đ","0 đ","0 đ","0","0","0","0","0","0","0","0","0","0 đ","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20/04/2026","","","0 đ","0 đ","0 đ","0","0","0","0","0","0","0","0","0","0 đ","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21/04/2026","","","0 đ","0 đ","0 đ","0","0","0","0","0","0","0","0","0","0 đ","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22/04/2026","","","0 đ","0 đ","0 đ","0","0","0","0","0","0","0","0","0","0 đ","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23/04/2026","","","0 đ","0 đ","0 đ","0","0","0","0","0","0","0","0","0","0 đ","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24/04/2026","","","0 đ","0 đ","0 đ","0","0","0","0","0","0","0","0","0","0 đ","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25/04/2026","","","0 đ","0 đ","0 đ","0","0","0","0","0","0","0","0","0","0 đ","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26/04/2026","","","0 đ","0 đ","0 đ","0","0","0","0","0","0","0","0","0","0 đ","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27/04/2026","","","0 đ","0 đ","0 đ","0","0","0","0","0","0","0","0","0","0 đ","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28/04/2026","","","0 đ","0 đ","0 đ","0","0","0","0","0","0","0","0","0","0 đ","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29/04/2026","","","0 đ","0 đ","0 đ","0","0","0","0","0","0","0","0","0","0 đ","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30/04/2026","","","0 đ","0 đ","0 đ","0","0","0","0","0","0","0","0","0","0 đ","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
